titlemeta_ID;titlemeta_author;titlemeta_title;bestseller_author;bestseller_title;bestseller_year;ratio_author;ratio_title
mdp.39076006273952;Porter, Katherine Anne;Ship of fools.;Porter, Katherine Anne;Ship of Fools;1962;100;96
mdp.39015046364652;Wouk, Herman;The Caine mutiny.;Wouk, Herman;The Caine Mutiny;1951;100;96
mdp.39015046364652;Wouk, Herman;The Caine mutiny.;Wouk, Herman;The Caine Mutiny;1952;100;96
mdp.39015043199028;Du Maurier, Daphne;The glass-blowers ;du Maurier, Daphne;The Glass-Blowers;1963;100;96
mdp.39015001698649;Wouk, Herman;Don't stop the carnival  ;Wouk, Herman;Don't Stop the Carnival;1965;100;96
uc1.$b83887;Moore, Robin;The green berets.;Moore, Robin;The Green Berets;1965;100;96
mdp.39015024079090;MacInnes, Helen;The double image.;MacInnes, Helen;The Double Image;1966;100;96
mdp.39015019641342;Ashe, Penelope;Naked came the stranger  ;Ashe, Penelope;Naked Came the Stranger;1969;100;96
mdp.39015047597573;Bach, Richard;Jonathan Livingston Seagull. ;Bach, Richard;Jonathan Livingston Seagull;1972;100;96
mdp.39015047597573;Bach, Richard;Jonathan Livingston Seagull. ;Bach, Richard;Jonathan Livingston Seagull;1973;100;96
mdp.39015009382261;Stewart, Mary;The crystal cave.;Stewart, Mary;The Crystal Cave;1970;100;96
uc1.32106011012165;Rice, Anne;The tale of the body thief  ;Rice, Anne;Tale of the Body Thief;1992;100;96
mdp.39015032612809;Morgan, Marlo;Mutant message down under  ;Morgan, Marlo;Mutant Message Down Under;1994;100;96
mdp.39015043780249;King, Stephen;The girl who loved Tom Gordon  ;King, Stephen;The Girl Who Loved Tom Gordon;1999;100;96
nyp.33433081937322;Burnett, Frances (Hodgson);The head of the house of Coombe, ;Burnett, Frances Hodgson;The Head of the House of Coombe;1922;96;96
uiug.30112042024395;Dell, Ethel May;The bars of iron.;Dell, Ethel M.;Bars of Iron;1916;90;96
mdp.39015017929921;Wiggin, Kate Douglas Smith;Rebecca of Sunnybrook Farm  ;Wiggin, Kate Douglas;Rebecca of Sunnybrook Farm;1904;87;96
uc1.b4080296;Walpole, Hugh, Sir;Rogue Herries.;Walpole, Hugh;Rogue Herries;1930;84;96
mdp.39015047106227;Roberts, Kenneth Lewis;Boon Island.;Roberts, Kenneth;Boon Island;1956;84;96
mdp.39015011402230;Fox, John;The trail of the lonesome pine, ;Fox, John Jr.;The Trail of the Lonesome Pine;1908;82;96
mdp.39015011402230;Fox, John;The trail of the lonesome pine, ;Fox, John Jr.;The Trail of the Lonesome Pine;1909;82;96
nc01.ark+=13960=t41r7kk60;Bacheller, Irving Addison;"Eben Holden;";Bacheller, Irving;Eben Holden;1900;81;96
nc01.ark+=13960=t41r7kk60;Bacheller, Irving Addison;"Eben Holden;";Bacheller, Irving;Eben Holden;1901;81;96
uc1.$b312694;Train, Arthur Cheney;His children's children  ;Train, Arthur;His Children's Children;1923;79;96
uc1.b3688431;Hobart, Alice Tisdale Nourse, Mrs;Oil for the lamps of China  ;Hobart, Alice Tisdale;Oil for the Lamps of China;1934;78;96
nyp.33433074864814;Glyn, Elinor;The visits of Elizabeth  ;Glyn, Elinor;The Visits of Elizabeth;1901;100;95
mdp.39015063739901;Allen, James Lane;The mettle of the pasture  ;Allen, James Lane;The Mettle of the Pasture;1903;100;95
mdp.39015063941481;McCutcheon, George Barr;The man from Brodney's, ;McCutcheon, George Barr;The Man from Brodney's;1908;100;95
nyp.33433076088826;Kester, Vaughan;The just and the unjust, ;Kester, Vaughan;The Just and the Unjust;1912;100;95
nyp.33433076047962;Rives, Hallie Erminie;The Valiants of Virginia, ;Rives, Hallie Erminie;The Valiants of Virginia;1913;100;95
uc2.ark+=13960=t7hq3sn2r;Dalrymple, Leona;Diane of the green v;Dalrymple, Leona;Diane of the Green Van;1914;100;95
nyp.33433076055130;Poole, Ernest;His family.;Poole, Ernest;His Family;1917;100;95
uc2.ark+=13960=t0ks6k18m;Grey, Zane;The U.P. Trail;Grey, Zane;The U. P. Trail;1918;100;95
njp.32101068971017;Keable, Robert;Simon called Peter  ;Keable, Robert;Simon Called Peter;1922;100;95
